cz,czname,pop2000,stateabbrv,year,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
500,Greensboro,1055133,NC,2007,81.046295,81.855492,85.545555,86.028,85.666985,86.0625,90.268478,90.423897,76.63826,77.577469,81.299164,81.896889,84.058945,84.477097,87.899002,88.139786,1.5380663,1.4956108,1.5402753,1.4716361,2.0276682,1.9500917,1.8759677,1.7981828,1.1467109,1.1367855,1.5601796,1.5135481,1.6712291,1.6148696,2.0599833,1.9759324,48742,46319,42961,31913,43727,44329,40712,29810
500,Greensboro,1055133,NC,2008,83.898918,84.620079,87.49305,87.883034,88.58419,88.854919,87.976089,88.230865,75.687279,76.681587,80.302185,80.941101,83.810097,84.244751,88.538963,88.742432,1.295344,1.2431132,1.3182423,1.2542198,1.4793255,1.4160248,2.5661669,2.4675775,1.0801437,1.075985,1.52784,1.4890505,1.9599864,1.9001465,1.6496125,1.5758959,50129,47173,43353,31742,44802,45225,40773,29646
500,Greensboro,1055133,NC,2009,82.848328,83.654831,83.410301,84.004608,84.173859,84.640686,88.792641,89.00412,74.731407,75.703873,81.079155,81.7052,83.217728,83.674225,86.728661,87.012375,1.2731519,1.2240121,1.9037968,1.8311803,2.4447274,2.3685453,1.9037037,1.8236355,1.0280221,1.0374527,1.3154782,1.272259,1.7214209,1.6686717,1.9699477,1.8897308,51253,48523,44245,32416,45905,46178,41828,30337
500,Greensboro,1055133,NC,2010,82.441711,83.28492,88.693642,89.038399,89.308716,89.561127,86.342743,86.684074,74.878334,75.835503,82.723656,83.300377,82.711075,83.196373,89.619987,89.779129,1.3851918,1.3274554,1.0482078,.9900043,1.393393,1.3287622,3.0430303,2.9449008,1.0477604,1.0610003,1.3732425,1.3196673,1.7910373,1.7408121,1.3980447,1.3293815,51078,49046,44182,31499,45764,46356,41417,29229
500,Greensboro,1055133,NC,2011,80.096344,81.028496,86.119736,86.612274,89.004211,89.274063,90.310341,90.472351,74.900681,75.915131,81.079445,81.724281,86.047478,86.40844,88.573944,88.783012,1.5574386,1.5144429,1.6241072,1.5457337,1.6735324,1.5949458,1.9074392,1.8259298,1.0644736,1.0682549,1.4951712,1.4505471,1.546091,1.4814624,1.6161299,1.5396814,50957,48825,43737,31077,45831,45514,41007,28692
500,Greensboro,1055133,NC,2012,82.366211,83.253418,86.328453,86.822556,85.451988,85.893959,89.726501,89.908775,75.814217,76.848091,79.518326,80.22023,86.611298,86.949005,87.821053,88.084137,1.3202226,1.267014,1.5589687,1.4777638,1.9011101,1.8199401,1.7256227,1.649157,1.0750115,1.0691879,1.4056096,1.3771844,1.3823469,1.3209153,2.2817304,2.1859953,50333,49133,44020,30929,45376,45413,41547,28602
500,Greensboro,1055133,NC,2013,84.630585,85.407799,83.240921,83.896729,88.758644,89.044556,91.752716,91.852707,74.883102,75.913322,81.102386,81.753761,83.938568,84.394997,84.625366,85.023125,1.2033674,1.1337715,1.8725219,1.8001808,1.5204593,1.4444295,1.5945374,1.5219998,1.0726744,1.08176,1.7213562,1.6750448,1.8614016,1.7964836,2.8295932,2.7528694,50333,49109,43594,30277,46273,45558,40881,27759
500,Greensboro,1055133,NC,2014,80.754105,81.738365,86.301308,86.798958,89.277603,89.534187,85.965164,86.326042,77.628952,78.624939,80.539093,81.209747,84.576927,85.008591,86.358597,86.666512,1.4101555,1.3581175,1.4842361,1.4052089,1.3039023,1.2391456,3.5482852,3.447433,1.1841482,1.1604207,1.5094402,1.4674979,2.0840983,2.01088,2.2430272,2.1580963,47906,48350,41777,29788,44870,44421,38999,26622
900,Charlotte,1423942,NC,2001,80.668518,81.468399,83.803864,84.258438,86.643784,86.913628,89.316231,89.499123,73.523865,74.453712,78.497543,79.066612,83.239182,83.576439,80.524025,80.952866,1.3530809,1.3256357,1.6466904,1.5947298,1.900064,1.8400259,1.6133844,1.5450294,1.0293672,1.0325111,1.4201216,1.398186,1.7467505,1.7026578,1.9946786,1.9721202,47615,51007,52414,58451,43393,48263,51288,58218
900,Charlotte,1423942,NC,2002,81.465523,82.21534,86.018524,86.400635,87.435356,87.67453,89.53051,89.708519,74.891472,75.835159,77.93129,78.507172,82.584587,82.943802,83.707687,84.066162,1.3799291,1.3512886,1.4756626,1.4299374,1.6494602,1.5989906,1.7211071,1.6501528,1.0970143,1.0921831,1.3977594,1.3833551,1.6771486,1.6363536,2.0072014,1.9534658,50930,53104,54277,59389,45923,49954,53105,59151
